"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Name Basiswert 1","Name Basiswert 2"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","Stadt München","392.4","1560042","3976","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","01 Altstadt - Lehel","34.5","21126","613","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","02 Ludwigsvorstadt - Isarvorstadt","172.5","51933","301","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","03 Maxvorstadt","192.7","51834","269","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","04 Schwabing - West","410.3","68935","168","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","05 Au - Haidhausen","362.7","61654","170","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","06 Sendling","458.4","41256","90","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","07 Sendling - Westpark","903","60498","67","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","08 Schwanthalerhöhe","580.6","29611","51","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","09 Neuhausen - Nymphenburg","295.6","100213","339","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","10 Moosach","677.4","54872","81","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","11 Milbertshofen - Am Hart","1472.3","76559","52","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","12 Schwabing - Freimann","327.7","78657","240","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","13 Bogenhausen","334.7","90025","269","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","14 Berg am Laim","1382.4","47000","34","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","15 Trudering - Riem","825.6","73479","89","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","16 Ramersdorf - Perlach","824.6","117918","143","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","17 Obergiesing - Fasangarten","461.9","54498","118","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","18 Untergiesing - Harlaching","416","53243","128","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","488.5","97689","200","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","20 Hadern","771.8","50165","65","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","21 Pasing - Obermenzing","283.8","76348","269","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
"Ärztedichte","alle Ärzte (ohne psychol. Psychotherapie)","2019","22 Aubing - Lochhausen - Langwied","1066.8","49072","46","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne psychol. Psychotherapie)"
